image_id,disease
bacterial_spot_39,"['Tomato Yellow Leaf Curl', 'Rust']"
bacterial_spot_4,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_40,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_41,"['Tomato Yellow Leaf Curl', 'Rust']"
bacterial_spot_42,"['Tomato Yellow Leaf Curl', 'Rust']"
bacterial_spot_43,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_44,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_45,"['Tomato Yellow Leaf Curl', 'Rust']"
bacterial_spot_46,"['Tomato Yellow Leaf Curl', 'Rust']"
bacterial_spot_47,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_48,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_49,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_5,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_50,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_6,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_7,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
bacterial_spot_8,"['Tomato Yellow Leaf Curl', 'Rust']"
bacterial_spot_9,"['Tomato Yellow Leaf Curl', 'Rust']"
early_blight_1,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_10,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_11,"['Tomato Yellow Leaf Curl', 'Rust']"
early_blight_12,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_13,"['Tomato Yellow Leaf Curl', 'Rust']"
early_blight_14,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_15,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_16,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_17,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_18,"['Tomato Yellow Leaf Curl', 'Rust']"
early_blight_19,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_2,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_20,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Rust']"
early_blight_21,"['Tomato Yellow Leaf Curl', 'Rust']"
early_blight_22,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_23,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_24,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_25,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_26,"['Tomato Yellow Leaf Curl', 'Rust']"
early_blight_27,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_28,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_29,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_3,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_30,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_31,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_32,"['Tomato Yellow Leaf Curl', 'Rust']"
early_blight_33,"['Tomato Yellow Leaf Curl', 'Rust']"
early_blight_34,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_35,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_36,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_37,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_38,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_39,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_4,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_40,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_41,"['Tomato Yellow Leaf Curl', 'Rust']"
early_blight_42,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_43,['Tomato Yellow Leaf Curl']
early_blight_44,['Tomato Yellow Leaf Curl']
early_blight_45,"['Tomato Yellow Leaf Curl', 'Rust']"
early_blight_46,"['Tomato Yellow Leaf Curl', 'Bacterial Spot']"
early_blight_47,"['Tomato Yellow Leaf Curl', 'Rust']"
early_blight_48,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_49,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_5,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_50,"['Tomato Yellow Leaf Curl', 'Rust']"
early_blight_6,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_7,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_8,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
early_blight_9,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_1,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_10,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_11,"['Tomato Yellow Leaf Curl', 'Bacterial Spot']"
rust_12,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_13,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_14,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_15,"['Tomato Yellow Leaf Curl', 'Rust']"
rust_16,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_17,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_18,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_19,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_2,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot']"
rust_20,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_21,"['Tomato Yellow Leaf Curl', 'Rust']"
rust_22,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_23,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_24,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_25,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_26,"['Tomato Yellow Leaf Curl', 'Rust']"
rust_27,"['Tomato Yellow Leaf Curl', 'Rust']"
rust_28,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_29,"['Tomato Yellow Leaf Curl', 'Bacterial Spot']"
rust_3,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_30,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_31,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_32,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_33,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_34,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_35,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_36,"['Tomato Yellow Leaf Curl', 'Rust']"
rust_37,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_38,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Rust']"
rust_39,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_4,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_40,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_41,"['Tomato Yellow Leaf Curl', 'Rust']"
rust_42,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_43,"['Tomato Yellow Leaf Curl', 'Rust']"
rust_44,"['Tomato Yellow Leaf Curl', 'Rust']"
rust_45,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_46,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_47,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_48,"['Tomato Yellow Leaf Curl', 'Rust']"
rust_49,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_5,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_50,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_6,"['Tomato Yellow Leaf Curl', 'Rust']"
rust_7,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_8,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
rust_9,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_1,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Rust']"
yellow_leaf_curl_10,"['Tomato Yellow Leaf Curl', 'Rust']"
yellow_leaf_curl_11,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Rust']"
yellow_leaf_curl_12,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot']"
yellow_leaf_curl_13,"['Tomato Yellow Leaf Curl', 'Bacterial Spot']"
yellow_leaf_curl_14,['Tomato Yellow Leaf Curl']
yellow_leaf_curl_15,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_16,"['Early Blight', 'Tomato Yellow Leaf Curl']"
yellow_leaf_curl_17,"['Tomato Yellow Leaf Curl', 'Bacterial Spot']"
yellow_leaf_curl_18,"['Tomato Yellow Leaf Curl', 'Rust']"
yellow_leaf_curl_19,['Tomato Yellow Leaf Curl']
yellow_leaf_curl_2,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_20,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_21,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_22,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_23,"['Tomato Yellow Leaf Curl', 'Rust']"
yellow_leaf_curl_24,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_25,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_26,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_27,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_28,"['Tomato Yellow Leaf Curl', 'Rust']"
yellow_leaf_curl_29,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot']"
yellow_leaf_curl_3,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_30,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_31,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_32,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Rust']"
yellow_leaf_curl_33,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_34,"['Early Blight', 'Tomato Yellow Leaf Curl']"
yellow_leaf_curl_35,"['Tomato Yellow Leaf Curl', 'Rust']"
yellow_leaf_curl_36,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_37,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_38,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_39,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_4,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_40,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_41,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Rust']"
yellow_leaf_curl_42,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot']"
yellow_leaf_curl_43,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Rust']"
yellow_leaf_curl_44,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_45,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_46,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_47,"['Tomato Yellow Leaf Curl', 'Bacterial Spot']"
yellow_leaf_curl_48,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_49,"['Early Blight', 'Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_5,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_50,"['Tomato Yellow Leaf Curl', 'Rust']"
yellow_leaf_curl_6,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
yellow_leaf_curl_7,['Tomato Yellow Leaf Curl']
yellow_leaf_curl_8,"['Tomato Yellow Leaf Curl', 'Rust']"
yellow_leaf_curl_9,"['Tomato Yellow Leaf Curl', 'Bacterial Spot', 'Rust']"
